bedrooms,bathrooms,sqft_lot,floors,view,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,yr_since_renovation,cluster
3,2.5,36847,2.0,2,9,2320,0,1992,2550,35065,22.0,9
3,2.5,13241,1.5,0,9,1270,800,1910,2200,4500,104.0,7
3,2.0,3478,1.5,0,7,1440,540,1929,1610,3478,85.0,7
3,2.0,107593,2.0,0,8,2190,0,1983,2570,47777,31.0,18
3,2.5,8113,2.0,0,8,2920,0,1950,2370,8113,4.0,15
3,1.0,33919,1.0,0,7,1210,0,1954,1640,14910,60.0,5
3,2.5,10005,1.0,0,8,1460,880,1978,2250,8162,37.0,5
3,1.0,4005,1.5,0,7,1170,500,1939,1240,4005,75.0,7
2,2.0,2493,1.0,0,8,1240,0,1985,1270,4966,29.0,17
4,2.5,28037,2.0,0,10,3140,0,1991,2990,35001,24.0,18
5,2.0,12342,2.0,0,7,2030,0,1942,2500,9433,72.0,10
4,2.5,9624,2.0,0,8,2310,0,1984,1940,9636,30.0,4
3,2.0,3328,1.0,0,6,700,560,1905,1380,3536,110.0,7
3,2.0,12600,1.0,0,7,1160,380,1980,1540,11656,34.0,14
3,2.0,5969,1.0,2,7,1080,1000,1971,2090,5500,43.0,13
3,3.5,6350,2.0,0,8,2780,1600,1900,1830,6350,15.0,7
3,3.5,1102,3.0,0,8,1590,0,2010,1620,3166,4.0,7
2,1.0,6780,1.0,0,6,880,0,1945,1190,6780,69.0,8
4,2.0,9600,1.0,0,6,1570,0,1950,1880,9000,65.0,8
4,1.0,2982,1.5,0,7,1610,0,1925,1610,4040,90.0,13
3,2.5,6474,1.0,2,8,1560,840,1964,2340,10856,51.0,19
3,2.0,9132,1.0,0,7,1450,0,1987,1580,9104,27.0,3
2,1.0,6000,1.0,0,6,770,0,1953,1710,6000,62.0,7
4,2.0,4400,1.5,0,7,1720,380,1924,1850,4400,90.0,13
3,2.0,10204,2.0,0,9,2910,0,1990,2700,13992,24.0,18
3,2.0,8201,1.0,2,8,1620,480,1967,2660,8712,47.0,8
5,3.5,4960,2.0,0,7,1720,600,1926,1700,4960,88.0,7
4,2.5,4310,2.0,0,7,2070,0,2004,1970,3748,11.0,11
3,2.0,7875,1.0,0,7,1060,0,1986,1420,7680,29.0,12
4,2.0,9603,1.0,0,8,1440,570,1986,2060,9793,29.0,4
3,3.5,111078,1.5,0,9,2460,1490,1989,2480,88500,25.0,18
3,2.5,2287,2.0,0,8,1390,620,2014,1690,1662,0.0,4
4,3.5,2278,3.0,0,9,2140,0,2005,1540,2285,10.0,7
3,2.0,17390,1.0,0,7,1320,0,1956,1550,19265,58.0,17
4,2.0,7840,1.0,0,7,1010,1010,1968,1750,8140,46.0,17
4,2.0,10002,1.0,0,8,1340,1250,1968,1550,10436,46.0,19
2,1.0,4440,1.0,0,6,1190,0,1981,1060,5715,33.0,19
3,2.0,1249,3.0,0,8,1170,0,2014,1350,1310,0.0,7
2,1.0,3200,1.0,0,7,1110,0,1925,1170,3600,89.0,7
5,2.5,9375,1.0,0,8,1550,1270,1968,2820,9375,46.0,15
3,1.0,8579,1.0,0,7,1010,600,1962,1610,8579,53.0,5
3,1.0,8097,1.0,0,7,940,120,1923,1560,7940,92.0,19
4,2.0,8517,1.0,0,8,1380,650,1961,2230,8824,54.0,15
4,2.5,315374,2.0,0,9,3670,0,1994,2840,87991,20.0,2
2,2.5,60984,2.0,0,7,2420,0,2007,1940,193842,7.0,11
3,1.0,3455,1.0,0,7,980,450,1947,1450,4599,67.0,7
3,2.0,3090,2.0,0,8,1360,0,1990,1500,3090,24.0,7
3,1.0,5000,1.5,0,7,1110,0,1947,1420,5000,68.0,7
3,1.0,8200,1.0,0,7,1250,0,1954,1680,8633,61.0,17
1,1.0,5100,1.0,0,7,700,0,1942,1010,5100,72.0,19
3,1.0,7669,1.0,0,7,1180,0,1967,1190,7669,47.0,5
5,3.5,25245,2.0,0,9,2500,1460,1996,2640,13675,18.0,15
4,3.0,7500,1.0,0,8,1620,1020,1967,1980,7875,47.0,17
3,2.0,7198,1.5,0,7,1270,0,1916,1160,7198,1.0,1
4,2.0,11180,1.0,0,8,1760,0,1968,1730,11180,46.0,5
5,2.0,8632,1.0,0,7,1030,1030,1962,1010,11680,52.0,8
3,2.0,9660,1.0,0,7,1780,0,1962,1200,9660,53.0,3
3,2.5,16603,2.0,0,10,3400,0,2000,3400,12601,15.0,4
3,3.0,7280,1.0,0,7,1160,750,1979,1710,8152,35.0,3
3,2.0,38332,1.0,0,7,1010,1010,1975,2110,36590,39.0,14
3,2.0,7000,1.0,0,7,1180,400,1976,1640,7500,38.0,3
4,2.5,4499,2.0,0,9,2680,0,1999,2920,4500,16.0,15
3,2.5,9750,1.0,0,8,1610,1070,1979,2480,8750,35.0,3
3,2.0,8336,1.0,0,7,1370,0,1964,1770,7288,50.0,19
3,2.0,21000,1.0,0,7,1560,0,1954,1070,7920,61.0,8
3,2.0,7140,1.0,0,7,1670,490,1978,1930,7350,37.0,17
3,1.5,7912,1.5,0,7,1340,0,1955,1480,7940,59.0,19
4,2.5,35003,2.0,0,10,2570,1310,1984,3740,35230,31.0,10
4,2.0,8190,2.0,0,8,2590,0,1980,2260,8335,34.0,15
3,2.5,1100,2.0,0,8,820,300,2008,1590,1795,7.0,13
5,3.0,5400,1.0,0,7,1320,650,1986,1280,2150,28.0,13
3,1.0,4800,1.0,0,6,1220,0,1901,1200,4800,113.0,13
3,1.5,7560,1.0,2,7,1320,630,1975,1950,8941,39.0,1
2,1.0,8220,1.0,0,7,1060,290,1949,1540,8280,66.0,19
3,2.5,5797,2.0,0,7,1670,0,1988,1670,6183,26.0,12
4,3.0,5125,1.5,0,7,1680,700,1925,1410,5375,90.0,0
4,3.0,9600,2.0,0,7,2440,0,1961,2290,9600,53.0,3
2,1.5,3419,2.0,0,7,1050,0,1996,1050,3417,18.0,14
4,3.0,13412,2.0,0,9,2140,990,1993,2260,9984,21.0,18
5,3.0,12850,1.0,2,10,2090,2000,1986,2540,10270,28.0,10
4,2.0,10000,1.0,0,8,1100,390,1969,2190,8910,46.0,17
3,2.5,8744,2.0,0,8,1900,0,1987,2030,8744,27.0,4
4,1.0,2400,1.5,0,6,1330,0,1901,1330,4400,114.0,7
3,2.0,10026,1.0,0,8,1430,800,1975,2230,9340,39.0,10
3,2.0,9480,1.0,0,7,1220,430,1977,1540,8400,37.0,3
3,1.0,8820,1.0,0,6,1190,0,1959,1230,7980,55.0,5
3,2.5,9897,1.0,0,8,2140,0,1959,2680,10083,55.0,15
3,2.5,7508,1.0,0,7,1420,760,1962,1900,7818,52.0,19
3,1.0,10228,1.0,0,7,1060,0,1948,1570,10228,66.0,19
3,2.5,5025,2.0,0,8,1690,0,2003,2550,5001,11.0,17
4,2.0,6480,1.5,0,7,1130,840,1920,1500,6480,94.0,13
3,2.5,4084,2.0,0,8,2150,0,2007,1750,2385,7.0,0
3,2.5,66211,2.0,0,7,1910,0,1997,2330,67268,18.0,11
3,2.0,155073,1.0,0,7,1350,0,1969,1560,50965,45.0,14
3,1.0,11725,1.0,0,6,860,0,1943,1300,9514,72.0,5
3,2.5,14952,2.0,0,8,1940,0,1994,2030,10450,20.0,12
3,1.0,5000,1.0,0,7,1010,0,1952,1680,5000,62.0,7
3,1.5,7370,1.0,0,7,900,400,1976,1430,7500,38.0,17
3,1.0,8450,1.0,0,6,910,0,1962,1400,8040,53.0,5
4,2.0,11010,1.0,0,9,1630,850,1966,2770,10744,48.0,15
3,2.5,4587,2.0,0,8,2440,0,2010,2750,4587,4.0,18
3,1.0,5864,1.0,0,7,1010,0,1915,1290,5000,100.0,0
2,1.0,9600,1.0,0,6,900,0,1941,1250,14280,73.0,8
6,3.0,3404,2.0,0,7,1600,700,1920,1560,1312,20.0,19
4,2.0,7579,2.0,0,8,1550,0,1993,1630,6397,22.0,14
3,2.0,1566,2.0,0,8,1060,210,2014,1160,1327,0.0,19
4,2.5,12032,1.0,0,9,2240,0,1983,2520,12368,31.0,4
3,2.5,17936,2.0,0,9,2714,0,2005,2590,18386,10.0,6
4,3.0,6270,2.0,0,8,1720,0,1978,2130,8700,36.0,13
2,1.0,16400,1.0,0,6,850,0,1923,1100,14459,92.0,8
3,2.5,5692,2.0,0,8,2250,0,2000,1320,5390,14.0,0
2,2.0,14864,1.0,3,8,1950,1950,1947,2580,5184,67.0,13
2,1.5,10800,1.0,0,8,1320,0,1947,2120,12040,67.0,7
4,2.5,6440,2.0,0,10,2760,0,1999,3070,8127,15.0,4
3,2.0,9750,1.0,0,7,1350,400,1961,1900,10125,53.0,17
4,2.0,19436,2.0,0,8,2330,0,1987,1910,10055,27.0,3
3,2.0,16020,1.0,0,8,1780,440,1966,2080,9583,48.0,12
3,2.0,8379,2.0,0,7,2020,0,1994,2020,8031,20.0,14
3,2.0,7500,1.0,0,7,1250,0,1942,1280,7392,72.0,0
2,2.0,6516,1.0,0,8,1510,0,2005,1640,6009,10.0,2
4,2.0,9753,1.0,0,7,1120,600,1978,1510,9753,36.0,17
3,1.0,15246,1.0,0,7,980,450,1961,1960,13068,54.0,12
3,2.5,4729,2.0,0,7,1480,0,2004,2250,4729,11.0,2
2,2.0,15798,2.0,4,7,1230,220,1915,2030,13193,37.0,8
4,3.0,15347,1.0,0,7,2280,0,1960,2280,15347,54.0,15
2,1.0,10200,1.0,0,6,1000,0,1961,1150,13702,53.0,11
3,1.5,5280,1.5,0,7,1620,860,1947,2090,4800,67.0,13
5,4.0,28040,2.0,0,10,3760,0,1983,3430,35096,31.0,10
3,2.0,94300,1.0,0,7,1640,580,1976,2070,80100,39.0,14
4,1.0,4740,1.5,0,7,1670,300,1904,1510,4740,10.0,13
3,3.5,221284,2.0,0,10,3530,300,1993,2920,148539,21.0,2
3,2.0,8505,1.0,0,7,1430,0,1968,1190,8640,46.0,17
2,1.0,6000,1.0,0,6,830,0,1940,830,4960,74.0,0
3,1.0,8316,1.0,0,6,1300,0,1954,1260,8316,61.0,6
2,1.0,3060,1.0,2,7,790,240,1918,1390,3060,96.0,7
2,1.5,5120,1.0,0,6,720,0,1954,1150,2566,61.0,0
4,2.0,7312,1.0,0,7,2010,0,1976,2010,7650,39.0,6
3,2.0,3000,1.0,0,6,770,790,1918,1390,3000,97.0,7
3,2.0,7209,1.0,0,7,1240,570,1978,1750,7209,36.0,17
3,2.0,36224,2.0,0,8,1510,0,1991,1730,36224,24.0,9
3,1.0,3538,1.0,0,7,800,600,1953,1620,6331,62.0,13
3,2.5,7442,2.0,0,7,1730,0,1987,1630,6458,27.0,12
2,2.0,9191,1.5,2,7,1420,0,1928,1420,6816,86.0,19
4,2.0,7620,1.0,0,7,1180,1180,1955,1910,7620,59.0,0
3,2.0,11455,1.0,0,7,1200,380,1974,1550,10650,41.0,5
3,1.0,10170,1.0,0,7,1230,0,1979,1380,10098,35.0,9
4,2.5,4425,2.0,0,8,2460,0,2006,2990,5659,8.0,18
3,1.0,4400,1.5,0,8,1460,200,1911,1660,4400,103.0,13
3,2.0,8470,1.0,0,7,1270,0,1960,1600,8470,54.0,8
3,2.0,40510,2.0,0,10,1320,780,1979,2380,33450,35.0,4
4,2.5,7280,2.0,0,7,1700,0,1988,1950,7475,26.0,12
3,1.0,10701,1.0,0,7,1120,0,1954,1130,6350,60.0,0
2,1.0,4500,1.0,0,7,1070,0,1937,1320,4465,77.0,19
3,2.5,9900,1.0,0,8,1420,650,1979,2070,8250,36.0,17
4,5.0,57346,2.0,0,11,5310,0,1989,4180,47443,25.0,18
2,1.0,7538,1.0,0,7,1040,0,1939,1440,7530,76.0,19
3,1.0,11390,1.0,0,7,1700,0,1967,1350,8164,47.0,17
3,1.0,5898,1.0,0,7,1300,0,1961,1320,7619,53.0,8
3,2.0,1306,1.0,0,7,580,500,1954,1440,2225,11.0,7
3,2.5,4510,2.0,0,8,2653,0,2006,2653,4927,9.0,12
3,2.0,16258,1.0,0,8,2290,0,1960,1660,10530,55.0,5
4,3.0,26300,2.0,0,9,2850,970,2014,1860,12136,0.0,3
4,2.5,49375,1.0,0,8,2210,0,1997,2670,49385,18.0,14
3,2.0,6000,1.0,0,6,1240,1150,1908,2020,6000,107.0,13
2,1.0,5265,1.0,0,6,860,0,1931,1650,8775,84.0,8
4,2.5,7048,2.0,0,9,3500,0,2005,3920,7864,9.0,2
3,3.0,13959,1.0,0,8,1740,680,1988,2570,13300,27.0,3
5,2.0,13500,1.0,0,7,1850,650,1979,2300,9750,35.0,18
3,2.0,6720,1.0,0,7,1140,530,1980,1670,7320,35.0,3
5,2.0,10300,1.0,0,8,1450,1450,1985,2310,10300,29.0,15
2,1.0,14100,1.0,0,7,1140,500,1954,1520,13527,60.0,15
4,2.5,15770,2.0,0,7,1890,0,1968,2410,15256,46.0,8
4,2.0,9025,1.0,2,8,1780,1170,1975,2120,9600,40.0,3
4,2.5,9528,2.0,0,9,2160,0,1992,2280,9937,22.0,6
4,3.0,11060,2.0,0,8,2270,1010,1986,2320,11004,28.0,15
3,2.0,4166,2.0,3,8,1270,700,1929,2390,4166,85.0,0
4,2.5,22111,2.0,0,10,3360,0,1994,3150,11374,20.0,4
3,2.0,8959,1.0,0,7,1320,0,1993,1740,7316,21.0,12
3,2.5,7286,2.0,0,8,2650,0,1990,2400,7220,25.0,5
3,1.5,8880,1.0,0,7,1330,700,1963,2140,5592,51.0,13
3,2.0,11914,1.0,2,7,1090,500,1957,1630,9052,57.0,8
3,2.5,7632,2.0,0,8,2440,0,1998,2510,7903,16.0,17
3,2.5,9000,1.0,0,7,970,970,1948,2190,7310,66.0,7
3,2.5,3810,2.0,0,8,2040,0,2006,2370,4590,9.0,14
3,2.0,8750,1.0,0,7,1120,1080,1964,1460,10139,51.0,8
3,2.0,3300,1.0,0,8,960,960,1913,1740,4000,102.0,13
4,3.0,7750,1.0,0,8,1400,400,1965,1800,8275,50.0,19
4,2.0,7297,2.0,0,8,2180,0,1984,2250,9781,30.0,4
2,1.0,5000,1.5,0,6,1010,0,1908,1460,5000,107.0,19
4,3.0,10574,2.0,0,8,2220,1100,1960,2720,8330,55.0,15
4,2.5,4000,1.5,2,8,1980,390,1928,2440,5750,87.0,13
5,2.0,78408,1.5,0,6,1660,0,1915,1660,78408,99.0,11
4,3.0,12103,1.0,3,11,2690,1600,1997,3860,11244,17.0,15
4,3.0,12103,1.0,3,11,2690,1600,1997,3860,11244,17.0,15
4,2.0,7700,1.0,0,8,1350,600,1979,2150,7350,35.0,5
3,2.0,14052,1.0,0,8,1720,870,1948,1570,8162,67.0,19
3,2.5,64904,1.0,0,8,1930,0,1988,2350,57500,27.0,12
2,1.0,3864,1.0,0,7,1170,300,1916,1570,3864,98.0,7
4,1.0,8775,1.0,0,6,800,0,1943,1310,8775,71.0,8
5,3.0,7119,2.0,0,9,3150,0,2013,1560,8384,1.0,10
3,2.0,16200,2.0,0,8,2030,0,1984,2660,17958,30.0,4
3,2.0,11204,1.0,0,7,1450,0,2003,1520,9518,11.0,6
3,2.0,10248,1.0,0,7,1510,0,1969,1510,9753,46.0,17
2,1.0,12092,1.0,0,6,960,280,1922,1820,7460,30.0,8
2,1.0,12092,1.0,0,6,960,280,1922,1820,7460,31.0,8
4,2.0,4400,1.5,0,9,2050,0,1922,2320,5500,92.0,7
3,2.0,10289,1.0,0,9,1590,780,1977,2500,10004,37.0,15
4,3.5,6750,2.0,0,9,1890,910,1951,2370,6120,12.0,19
3,2.0,10530,1.0,2,8,1810,0,1991,1910,10450,23.0,1
2,1.0,5000,1.0,0,7,1070,0,1924,1710,5000,91.0,7
4,2.5,5238,2.0,0,7,1960,0,2003,1800,5894,11.0,14
3,3.0,5569,1.0,0,9,1860,1070,2004,2580,11045,10.0,3
4,2.0,3500,1.5,0,7,1510,0,1911,1820,3750,103.0,7
3,2.0,8250,1.0,0,7,1420,0,1954,1740,8000,60.0,19
3,2.0,11547,1.0,0,7,1740,0,1954,880,78408,61.0,5
4,2.0,43995,2.0,0,7,2560,0,1962,2560,14764,53.0,18
4,3.5,8414,2.0,0,9,2420,620,2010,3470,8066,4.0,15
3,2.0,6840,1.0,0,8,1300,1200,1957,1580,8691,57.0,19
4,2.0,20000,1.0,0,6,1275,0,1991,1660,20000,23.0,17
4,2.5,5823,2.0,0,8,2580,0,2002,2380,5823,12.0,11
4,1.0,7134,1.0,0,6,1000,0,1943,1020,7138,71.0,8
4,1.0,7134,1.0,0,6,1000,0,1943,1020,7138,71.0,8
2,1.0,32633,1.0,0,6,1070,0,1930,1360,32156,84.0,5
3,2.0,13464,1.0,0,7,1390,0,1987,1720,12080,27.0,12
4,2.0,7690,1.0,0,7,1250,1250,1973,2040,8646,42.0,19
4,3.0,10460,2.0,0,9,2270,0,1965,2610,10180,49.0,15
3,1.0,14400,1.0,0,7,1300,600,1954,1940,14400,61.0,8
2,1.0,3120,1.0,2,7,790,200,1907,1930,3120,107.0,7
4,1.5,19800,1.0,0,7,1050,500,1969,1640,22654,46.0,6
4,2.0,7475,1.0,0,7,1100,1100,1955,1600,5766,59.0,13
4,2.5,4862,2.0,0,7,1910,0,2005,2010,5091,9.0,14
4,1.0,9600,1.5,0,7,1750,0,1954,1750,10530,60.0,15
3,2.5,5750,2.0,2,9,1980,460,2000,1520,5750,14.0,0
3,2.5,29970,2.0,0,7,1640,0,1992,1580,28399,22.0,2
4,2.5,7912,2.0,0,7,1820,0,1994,1820,8168,20.0,14
3,2.5,5608,1.0,0,8,1340,770,2013,2040,9363,1.0,10
5,2.5,9570,1.0,2,8,1640,1400,1966,2920,8800,48.0,15
3,2.0,40438,2.0,0,7,1840,0,1994,1380,44049,21.0,9
4,2.5,10400,2.0,0,9,2990,0,2002,2140,17449,13.0,8
4,2.5,15420,2.0,0,10,3520,0,1991,3400,21455,23.0,4
4,3.0,69415,1.0,0,8,1910,530,1989,2770,24361,26.0,4
4,3.0,7500,1.0,0,7,1370,720,1986,1810,7650,28.0,5
3,2.0,7222,2.0,0,7,1430,0,1993,1430,7220,21.0,5
4,2.0,10754,1.0,0,7,1100,1080,1954,1810,6929,61.0,19
3,2.0,7562,2.0,0,7,1450,0,1994,1650,7625,20.0,5
4,2.5,7331,2.0,0,10,3230,0,2004,3480,7447,10.0,4
3,2.0,13500,1.0,0,7,1110,530,1940,1770,12600,74.0,19
3,3.0,7750,1.0,0,7,1060,530,1997,1680,7500,17.0,14
4,2.0,2849,2.0,0,7,2020,0,1960,1910,3120,55.0,7
3,1.5,3348,1.5,0,7,1300,0,1904,1590,2577,1.0,13
3,3.0,14338,2.0,0,10,3030,1010,1986,3360,14142,28.0,18
4,2.0,5337,2.0,0,7,2130,0,2001,2300,6930,14.0,2
4,2.0,7800,1.0,0,8,1580,970,1968,2420,8050,47.0,10
5,3.5,14984,2.0,2,11,3480,1320,1998,4050,19009,16.0,15
4,2.0,11585,2.0,0,8,2510,0,1969,2450,9691,45.0,15
3,2.0,9600,1.0,0,7,1410,0,1983,1410,9600,31.0,18
3,2.0,7352,1.0,0,7,1160,490,1979,1710,7350,35.0,5
4,2.5,13780,2.0,0,8,2120,0,1993,1880,12000,21.0,0
4,1.5,10726,1.0,0,7,1380,660,1954,1610,10020,60.0,19
4,1.0,7620,1.5,0,7,1550,0,1957,1450,7620,57.0,0
3,3.0,3128,2.0,0,9,1980,0,1979,1950,2856,35.0,10
3,2.5,26977,2.0,0,8,1600,0,2005,1790,27743,9.0,2
4,3.0,12090,2.0,0,8,3300,0,1953,3180,12239,61.0,10
4,2.5,16619,2.0,1,10,3840,0,1983,3600,16553,31.0,15
2,1.0,10000,1.0,0,7,1220,0,1950,2000,9600,65.0,3
5,2.0,8800,1.0,0,7,1500,1220,1958,2110,8800,57.0,10
3,2.5,3000,1.5,0,7,1260,900,1909,1060,3500,3.0,13
4,2.0,8750,1.5,0,7,1530,0,1968,1390,8750,46.0,5
3,3.5,2096,2.0,0,8,1290,420,2008,1630,1543,7.0,13
4,2.0,16980,1.0,0,7,2150,1580,1974,1880,16963,40.0,1
2,1.0,5000,1.0,0,7,940,0,1937,1560,4500,78.0,7
3,2.5,22357,2.0,0,8,1750,0,1994,2430,22357,21.0,9
4,2.5,6753,2.0,0,7,1820,0,1994,1820,7107,20.0,14
3,3.0,2000,2.0,0,9,1330,180,2001,1510,1352,13.0,0
3,2.0,1213,3.0,0,8,1290,0,2001,1290,3235,13.0,7
3,2.0,5250,1.0,0,7,1570,0,1998,1570,5250,17.0,12
4,2.5,6957,2.0,0,8,1930,0,1995,2090,6996,20.0,5
4,3.5,40139,1.0,4,10,2840,0,1986,3180,36852,28.0,14
3,2.5,8134,2.0,0,7,1550,0,1991,1550,8134,24.0,12
3,2.5,32239,2.0,0,8,2990,0,1978,2990,36497,36.0,18
3,2.5,7251,2.0,0,9,2000,0,1995,2450,8118,19.0,3
4,1.5,7480,1.5,2,7,2390,0,1920,2850,6867,95.0,5
3,2.0,37461,1.0,0,7,1530,1380,1967,2520,18295,47.0,3
4,2.0,174240,1.0,0,7,1610,475,1964,2690,174240,50.0,4
4,2.0,9351,1.0,0,7,1290,910,1962,1910,8660,53.0,19
3,2.0,5028,2.0,0,8,1860,0,2012,2320,5465,2.0,2
2,1.0,3960,1.0,0,7,950,0,1941,1320,4050,73.0,7
3,2.0,9135,1.0,0,7,1600,0,1955,1580,9800,59.0,15
